Biračko mjesto:,municipality_ID,party,values
001A001B,001,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,2
001A001B,001,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,0
001A001B,001,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,0
001A002,001,BPS - SEFER HALILOVIĆ,1
001A002,001,STRANKA ZA BOSNU I HERCEGOVINU,11
001A002,001,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,35
001A002,001,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,2
001A002,001,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,137
001A002,001,DEMOKRATSKA STRANKA INVALIDA BIH,2
001A002,001,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,1
001A002,001,СОЦИЈАЛИСТИЧКА ПАРТИЈА,0
001A002,001,SDA - STRANKA DEMOKRATSKE AKCIJE,54
001A002,001,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,0
001A002,001,NARODNA STRANKA RADOM ZA BOLJITAK,25
001A002,001,STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE,5
001A002,001,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,0
001A002,001,SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,1
001A002,001,STRANKA UDRUŽENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE,0
001A002,001,STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,5
001A002,001,STRANKA ZA NAROD BOSNE I HERCEGOVINE,1
001A002,001,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,22
001A002,001,PARTIJA PRAVOG PUTA,3
001A002,001,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,3
001A002,001,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,1
001A002,001,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,0
001A003,001,BPS - SEFER HALILOVIĆ,0
001A003,001,STRANKA ZA BOSNU I HERCEGOVINU,7
001A003,001,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,51
001A003,001,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,0
001A003,001,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,209
001A003,001,DEMOKRATSKA STRANKA INVALIDA BIH,0
001A003,001,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,1
001A003,001,СОЦИЈАЛИСТИЧКА ПАРТИЈА,0
001A003,001,SDA - STRANKA DEMOKRATSKE AKCIJE,26
001A003,001,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,1
001A003,001,NARODNA STRANKA RADOM ZA BOLJITAK,31
001A003,001,STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE,0
001A003,001,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,0
001A003,001,SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,0
001A003,001,STRANKA UDRUŽENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE,0
001A003,001,STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,9
001A003,001,STRANKA ZA NAROD BOSNE I HERCEGOVINE,0
001A003,001,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,18
001A003,001,PARTIJA PRAVOG PUTA,0
001A003,001,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,5
001A003,001,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,0
