election_unit_ID,election_type,year,polling_station_ID,municipality_ID,party,party_abrev,votes,candidate
201,kanton,2010,001A001A,001,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,NS - NSPZK,4,
201,kanton,2010,001A001A,001,"NS R ZA BOLJITAK, KSPP, E-5 I LDS - ZAJEDNO ZA USK","NSRZ, KSPP, E-5 I LDS - ZZUSK",36,
201,kanton,2010,001A001A,001,KOALICIJA PREOKRET: GDS BIH I NEP BIH,KP GDS BIH I NEP BIH,0,
201,kanton,2010,001A001B,001,BPS - SEFER HALILOVIĆ,BPS,0,
201,kanton,2010,001A001B,001,STRANKA ZA BOSNU I HERCEGOVINU,SZaBiH,6,
201,kanton,2010,001A001B,001,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,SDP BiH,40,
201,kanton,2010,001A001B,001,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,HDZ BIH,2,
201,kanton,2010,001A001B,001,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,DNZ BIH,107,
201,kanton,2010,001A001B,001,DEMOKRATSKA STRANKA INVALIDA BIH,DNI BiH,0,
201,kanton,2010,001A001B,001,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,BOSS,0,
201,kanton,2010,001A001B,001,ZAVIČAJNI SOCIJALDEMOKRATI - MILE MARČETA,ZSMM,0,
201,kanton,2010,001A001B,001,СОЦИЈАЛИСТИЧКА ПАРТИЈА,СП,0,
201,kanton,2010,001A001B,001,SDA - STRANKA DEMOKRATSKE AKCIJE,SDA,29,
201,kanton,2010,001A001B,001,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,ДНС,0,
201,kanton,2010,001A001B,001,STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE,SPU BiH,1,
201,kanton,2010,001A001B,001,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,СНСД МД,0,
201,kanton,2010,001A001B,001,SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,SDU BiH,0,
201,kanton,2010,001A001B,001,HSP BIH,HSP BIH,0,
201,kanton,2010,001A001B,001,HRVATSKA DEMOKRATSKA ZAJEDNICA 1990 - HDZ 1990,HDZ 1990,0,
201,kanton,2010,001A001B,001,STRANKA UDRUŽENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE,SUND BiH,0,
201,kanton,2010,001A001B,001,STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,ASDA,1,
201,kanton,2010,001A001B,001,STRANKA ZA NAROD BOSNE I HERCEGOVINE,SzaN BiH,0,
201,kanton,2010,001A001B,001,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,SBB BiH,11,
201,kanton,2010,001A001B,001,PARTIJA PRAVOG PUTA,PPP,0,
201,kanton,2010,001A001B,001,STRANKA KOKUZA - SKOK,SKOK,0,
201,kanton,2010,001A001B,001,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,NS - NSPZK,2,
201,kanton,2010,001A001B,001,"NS R ZA BOLJITAK, KSPP, E-5 I LDS - ZAJEDNO ZA USK","NSRZ, KSPP, E-5 I LDS - ZZUSK",17,
201,kanton,2010,001A001B,001,KOALICIJA PREOKRET: GDS BIH I NEP BIH,KP GDS BIH I NEP BIH,0,
201,kanton,2010,001A002,001,BPS - SEFER HALILOVIĆ,BPS,1,
201,kanton,2010,001A002,001,STRANKA ZA BOSNU I HERCEGOVINU,SZaBiH,21,
201,kanton,2010,001A002,001,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,SDP BiH,34,
201,kanton,2010,001A002,001,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,HDZ BIH,1,
201,kanton,2010,001A002,001,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,DNZ BIH,136,
201,kanton,2010,001A002,001,DEMOKRATSKA STRANKA INVALIDA BIH,DNI BiH,2,
201,kanton,2010,001A002,001,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,BOSS,0,
201,kanton,2010,001A002,001,ZAVIČAJNI SOCIJALDEMOKRATI - MILE MARČETA,ZSMM,0,
201,kanton,2010,001A002,001,СОЦИЈАЛИСТИЧКА ПАРТИЈА,СП,0,
201,kanton,2010,001A002,001,SDA - STRANKA DEMOKRATSKE AKCIJE,SDA,47,
201,kanton,2010,001A002,001,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,ДНС,0,
201,kanton,2010,001A002,001,STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE,SPU BiH,3,
201,kanton,2010,001A002,001,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,СНСД МД,0,
201,kanton,2010,001A002,001,SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,SDU BiH,2,
201,kanton,2010,001A002,001,HSP BIH,HSP BIH,0,
201,kanton,2010,001A002,001,HRVATSKA DEMOKRATSKA ZAJEDNICA 1990 - HDZ 1990,HDZ 1990,0,
201,kanton,2010,001A002,001,STRANKA UDRUŽENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE,SUND BiH,2,
201,kanton,2010,001A002,001,STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,ASDA,7,
201,kanton,2010,001A002,001,STRANKA ZA NAROD BOSNE I HERCEGOVINE,SzaN BiH,1,
201,kanton,2010,001A002,001,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,SBB BiH,22,
201,kanton,2010,001A002,001,PARTIJA PRAVOG PUTA,PPP,2,
201,kanton,2010,001A002,001,STRANKA KOKUZA - SKOK,SKOK,2,
201,kanton,2010,001A002,001,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,NS - NSPZK,0,
201,kanton,2010,001A002,001,"NS R ZA BOLJITAK, KSPP, E-5 I LDS - ZAJEDNO ZA USK","NSRZ, KSPP, E-5 I LDS - ZZUSK",40,
201,kanton,2010,001A002,001,KOALICIJA PREOKRET: GDS BIH I NEP BIH,KP GDS BIH I NEP BIH,0,
201,kanton,2010,001A003,001,BPS - SEFER HALILOVIĆ,BPS,0,
201,kanton,2010,001A003,001,STRANKA ZA BOSNU I HERCEGOVINU,SZaBiH,11,
201,kanton,2010,001A003,001,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,SDP BiH,43,
201,kanton,2010,001A003,001,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,HDZ BIH,2,
201,kanton,2010,001A003,001,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,DNZ BIH,217,
201,kanton,2010,001A003,001,DEMOKRATSKA STRANKA INVALIDA BIH,DNI BiH,0,
201,kanton,2010,001A003,001,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,BOSS,1,
201,kanton,2010,001A003,001,ZAVIČAJNI SOCIJALDEMOKRATI - MILE MARČETA,ZSMM,0,
201,kanton,2010,001A003,001,СОЦИЈАЛИСТИЧКА ПАРТИЈА,СП,0,
201,kanton,2010,001A003,001,SDA - STRANKA DEMOKRATSKE AKCIJE,SDA,26,
201,kanton,2010,001A003,001,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,ДНС,0,
201,kanton,2010,001A003,001,STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE,SPU BiH,0,
201,kanton,2010,001A003,001,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,СНСД МД,0,
201,kanton,2010,001A003,001,SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,SDU BiH,1,
201,kanton,2010,001A003,001,HSP BIH,HSP BIH,0,
201,kanton,2010,001A003,001,HRVATSKA DEMOKRATSKA ZAJEDNICA 1990 - HDZ 1990,HDZ 1990,0,
201,kanton,2010,001A003,001,STRANKA UDRUŽENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE,SUND BiH,0,
201,kanton,2010,001A003,001,STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,ASDA,10,
201,kanton,2010,001A003,001,STRANKA ZA NAROD BOSNE I HERCEGOVINE,SzaN BiH,0,
201,kanton,2010,001A003,001,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,SBB BiH,13,
201,kanton,2010,001A003,001,PARTIJA PRAVOG PUTA,PPP,0,
201,kanton,2010,001A003,001,STRANKA KOKUZA - SKOK,SKOK,1,
201,kanton,2010,001A003,001,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,NS - NSPZK,4,
201,kanton,2010,001A003,001,"NS R ZA BOLJITAK, KSPP, E-5 I LDS - ZAJEDNO ZA USK","NSRZ, KSPP, E-5 I LDS - ZZUSK",47,
201,kanton,2010,001A003,001,KOALICIJA PREOKRET: GDS BIH I NEP BIH,KP GDS BIH I NEP BIH,0,
