Election,Election Unit,Type,Party,Votes
parliament_bih,523,POTVRÐENI,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,2
parliament_bih,523,POTVRÐENI,СРПСКА РАДИКАЛНА СТРАНКА РЕПУБЛИКЕ СРПСКЕ,0
parliament_bih,523,POTVRÐENI,СДС - СРПСКА ДЕМОКРАТСКА СТРАНКА,19
parliament_bih,523,POTVRÐENI,DEMOKRATSKA STRANKA INVALIDA BIH,0
parliament_bih,523,POTVRÐENI,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,0
parliament_bih,523,POTVRÐENI,СОЦИЈАЛИСТИЧКА ПАРТИЈА,1
parliament_bih,523,POTVRÐENI,SDA - STRANKA DEMOKRATSKE AKCIJE,4
parliament_bih,523,POTVRÐENI,ПДП - ПАРТИЈА ДЕМОКРАТСКОГ ПРОГРЕСА,5
parliament_bih,523,POTVRÐENI,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,1
parliament_bih,523,POTVRÐENI,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,42
parliament_bih,523,POTVRÐENI,НАРОДНА ДЕМОКРАТСКА СТРАНКА,0
parliament_bih,523,POTVRÐENI,SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,0
parliament_bih,523,POTVRÐENI,СРПСКА РАДИКАЛНА СТРАНКА ДР ВОЈИСЛАВ ШЕШЕЉ,3
parliament_bih,523,POTVRÐENI,STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,0
parliament_bih,523,POTVRÐENI,ТОМИЋ МИЛОШ - НЕЗАВИСНИ КАНДИДАТ,0
parliament_bih,523,POTVRÐENI,САВЕЗ ЗА ДЕМОКРАТСКУ СРПСКУ,1
parliament_bih,523,POTVRÐENI,ДЕМОКРАТСКА ПАРТИЈА - ДРАГАН ЧАВИЋ,1
parliament_bih,523,POTVRÐENI,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,0
parliament_bih,523,POTVRÐENI,STRANKA KOKUZA - SKOK,0
parliament_bih,523,POTVRÐENI,СРПСКА НАПРЕДНА СТРАНКА,0
parliament_bih,523,POTVRÐENI,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,0
parliament_bih,523,POTVRÐENI,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,0
parliament_bih,523,POTVRÐENI,KOALICIJA PREOKRET: GDS BIH I NEP BIH,0
parliament_bih,522,POŠTOM,BPS - SEFER HALILOVIĆ,17
parliament_bih,522,POŠTOM,STRANKA ZA BOSNU I HERCEGOVINU,271
parliament_bih,522,POŠTOM,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,403
parliament_bih,522,POŠTOM,СРПСКА РАДИКАЛНА СТРАНКА РЕПУБЛИКЕ СРПСКЕ,0
parliament_bih,522,POŠTOM,СДС - СРПСКА ДЕМОКРАТСКА СТРАНКА,34
parliament_bih,522,POŠTOM,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,4
parliament_bih,522,POŠTOM,СОЦИЈАЛИСТИЧКА ПАРТИЈА,1
parliament_bih,522,POŠTOM,SDA - STRANKA DEMOKRATSKE AKCIJE,150
parliament_bih,522,POŠTOM,ПДП - ПАРТИЈА ДЕМОКРАТСКОГ ПРОГРЕСА,68
parliament_bih,522,POŠTOM,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,1
parliament_bih,522,POŠTOM,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,547
parliament_bih,522,POŠTOM,НАРОДНА ДЕМОКРАТСКА СТРАНКА,5
parliament_bih,522,POŠTOM,SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,2
parliament_bih,522,POŠTOM,СРПСКА РАДИКАЛНА СТРАНКА ДР ВОЈИСЛАВ ШЕШЕЉ,3
parliament_bih,522,POŠTOM,STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,3
parliament_bih,522,POŠTOM,САВЕЗ ЗА ДЕМОКРАТСКУ СРПСКУ,0
parliament_bih,522,POŠTOM,ДЕМОКРАТСКА ПАРТИЈА - ДРАГАН ЧАВИЋ,23
parliament_bih,522,POŠTOM,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,140
parliament_bih,522,POŠTOM,СРПСКА НАПРЕДНА СТРАНКА,0
parliament_bih,522,POŠTOM,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,45
parliament_bih,522,POŠTOM,KOALICIJA PREOKRET: GDS BIH I NEP BIH,62
parliament_bih,522,POŠTOM,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,629
parliament_bih,522,POŠTOM,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,3
parliament_bih,522,POŠTOM,HSS - NHI,2865
parliament_bih,522,ODUSTVO,BPS - SEFER HALILOVIĆ,11
parliament_bih,522,ODUSTVO,STRANKA ZA BOSNU I HERCEGOVINU,41
parliament_bih,522,ODUSTVO,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,123
parliament_bih,522,ODUSTVO,СРПСКА РАДИКАЛНА СТРАНКА РЕПУБЛИКЕ СРПСКЕ,9
parliament_bih,522,ODUSTVO,СДС - СРПСКА ДЕМОКРАТСКА СТРАНКА,143
parliament_bih,522,ODUSTVO,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,6
parliament_bih,522,ODUSTVO,СОЦИЈАЛИСТИЧКА ПАРТИЈА,21
parliament_bih,522,ODUSTVO,SDA - STRANKA DEMOKRATSKE AKCIJE,93
parliament_bih,522,ODUSTVO,ПДП - ПАРТИЈА ДЕМОКРАТСКОГ ПРОГРЕСА,25
parliament_bih,522,ODUSTVO,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,9
parliament_bih,522,ODUSTVO,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,206
parliament_bih,522,ODUSTVO,НАРОДНА ДЕМОКРАТСКА СТРАНКА,2
parliament_bih,522,ODUSTVO,SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,1
parliament_bih,522,ODUSTVO,СРПСКА РАДИКАЛНА СТРАНКА ДР ВОЈИСЛАВ ШЕШЕЉ,15
parliament_bih,522,ODUSTVO,STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,4
parliament_bih,522,ODUSTVO,САВЕЗ ЗА ДЕМОКРАТСКУ СРПСКУ,2
parliament_bih,522,ODUSTVO,ДЕМОКРАТСКА ПАРТИЈА - ДРАГАН ЧАВИЋ,2
parliament_bih,522,ODUSTVO,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,45
parliament_bih,522,ODUSTVO,СРПСКА НАПРЕДНА СТРАНКА,10
parliament_bih,522,ODUSTVO,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,9
parliament_bih,522,ODUSTVO,KOALICIJA PREOKRET: GDS BIH I NEP BIH,3
parliament_bih,522,ODUSTVO,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,4
parliament_bih,522,ODUSTVO,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,1
parliament_bih,522,ODUSTVO,HSS - NHI,5
parliament_bih,522,POTVRÐENI,BPS - SEFER HALILOVIĆ,1
parliament_bih,522,POTVRÐENI,STRANKA ZA BOSNU I HERCEGOVINU,2
parliament_bih,522,POTVRÐENI,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,11
parliament_bih,522,POTVRÐENI,СРПСКА РАДИКАЛНА СТРАНКА РЕПУБЛИКЕ СРПСКЕ,0
parliament_bih,522,POTVRÐENI,СДС - СРПСКА ДЕМОКРАТСКА СТРАНКА,7
parliament_bih,522,POTVRÐENI,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,0
parliament_bih,522,POTVRÐENI,СОЦИЈАЛИСТИЧКА ПАРТИЈА,0
parliament_bih,522,POTVRÐENI,SDA - STRANKA DEMOKRATSKE AKCIJE,1
parliament_bih,522,POTVRÐENI,ПДП - ПАРТИЈА ДЕМОКРАТСКОГ ПРОГРЕСА,1
parliament_bih,522,POTVRÐENI,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,0
parliament_bih,522,POTVRÐENI,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,7
parliament_bih,522,POTVRÐENI,НАРОДНА ДЕМОКРАТСКА СТРАНКА,0
parliament_bih,522,POTVRÐENI,SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,0
parliament_bih,522,POTVRÐENI,СРПСКА РАДИКАЛНА СТРАНКА ДР ВОЈИСЛАВ ШЕШЕЉ,2
parliament_bih,522,POTVRÐENI,STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,0
parliament_bih,522,POTVRÐENI,САВЕЗ ЗА ДЕМОКРАТСКУ СРПСКУ,0
parliament_bih,522,POTVRÐENI,ДЕМОКРАТСКА ПАРТИЈА - ДРАГАН ЧАВИЋ,1
parliament_bih,522,POTVRÐENI,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,3
parliament_bih,522,POTVRÐENI,СРПСКА НАПРЕДНА СТРАНКА,3
parliament_bih,522,POTVRÐENI,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,0
parliament_bih,522,POTVRÐENI,KOALICIJA PREOKRET: GDS BIH I NEP BIH,12
parliament_bih,522,POTVRÐENI,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,28
parliament_bih,522,POTVRÐENI,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,1
parliament_bih,522,POTVRÐENI,HSS - NHI,14
parliament_bih,521,POŠTOM,STRANKA ZA BOSNU I HERCEGOVINU,1999
parliament_bih,521,POŠTOM,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,1194
parliament_bih,521,POŠTOM,СРПСКА РАДИКАЛНА СТРАНКА РЕПУБЛИКЕ СРПСКЕ,0
parliament_bih,521,POŠTOM,СДС - СРПСКА ДЕМОКРАТСКА СТРАНКА,15
parliament_bih,521,POŠTOM,СОЦИЈАЛИСТИЧКА ПАРТИЈА,1
parliament_bih,521,POŠTOM,SDA - STRANKA DEMOKRATSKE AKCIJE,859
parliament_bih,521,POŠTOM,ПДП - ПАРТИЈА ДЕМОКРАТСКОГ ПРОГРЕСА,26
