Biračko mjesto:,municipality_ID,party,votes
006B002,006,ЕКОЛОШКА ПАРТИЈА РЕПУБЛИКЕ СРПСКЕ,0.0
006B002,006,САВЕЗ ЗА ДЕМОКРАТСКУ СРПСКУ,0.0
006B002,006,ДЕМОКРАТСКА ПАРТИЈА - ДРАГАН ЧАВИЋ,1.0
006B002,006,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,0.0
006B002,006,СРПСКА НАПРЕДНА СТРАНКА,0.0
006B002,006,СОЦИЈАЛИСТИЧКА ПАРТИЈА И ПАРТИЈА УЈЕДИЊЕНИХ ПЕНЗИОНЕРА,5.0
006B002,006,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,0.0
006B002,006,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,0.0
006B002,006,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,0.0
006B003,006,STRANKA ZA BOSNU I HERCEGOVINU,0.0
006B003,006,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,0.0
006B003,006,СРПСКА РАДИКАЛНА СТРАНКА РЕПУБЛИКЕ СРПСКЕ,4.0
006B003,006,СДС - СРПСКА ДЕМОКРАТСКА СТРАНКА,57.0
006B003,006,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,0.0
006B003,006,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,0.0
006B003,006,SDA - STRANKA DEMOKRATSKE AKCIJE,0.0
006B003,006,ПДП - ПАРТИЈА ДЕМОКРАТСКОГ ПРОГРЕСА,10.0
006B003,006,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,165.0
006B003,006,NARODNA STRANKA RADOM ZA BOLJITAK,0.0
006B003,006,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,89.0
006B003,006,НАРОДНА ДЕМОКРАТСКА СТРАНКА,2.0
006B003,006,СРПСКА РАДИКАЛНА СТРАНКА ДР ВОЈИСЛАВ ШЕШЕЉ,1.0
006B003,006,ЕКОЛОШКА ПАРТИЈА РЕПУБЛИКЕ СРПСКЕ,0.0
006B003,006,САВЕЗ ЗА ДЕМОКРАТСКУ СРПСКУ,0.0
006B003,006,ДЕМОКРАТСКА ПАРТИЈА - ДРАГАН ЧАВИЋ,0.0
006B003,006,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,0.0
006B003,006,СРПСКА НАПРЕДНА СТРАНКА,1.0
006B003,006,СОЦИЈАЛИСТИЧКА ПАРТИЈА И ПАРТИЈА УЈЕДИЊЕНИХ ПЕНЗИОНЕРА,0.0
