701 PREDSJEDNIŠTVO BIH BOŠNJAČKI ČLAN / ПРЕДСЈЕДНИШТВО БИХ БОШЊАЧКИ ЧЛАН 
00001 BPS-SEFER HALILOVIĆ 
  HALILOVIĆ SEFER 
01182 SBB - FAHRUDIN RADONČIĆ 
  RADONČIĆ FAHRUDIN 
01190 STRANKA DIJASPORE BOSNE I HERCEGOVINE 
"01743 HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE "
1  KRIŠTO BORJANA 
2  FRANJIČEVIĆ MATO 
3  RADOŠ PETAR 
4  ŠKRIPIĆ ŽELJKO 
5  DRONJIĆ ILIJANA 
6  MAMIĆ MARKO 
7  PAŠALIĆ-LHOTAK IVICA 
8  GALIOT SLAVKO 
00769 HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA 
1  ERCEG ZDRAVKO 
2  ŠANTIĆ TANJA 
3  REBRINA MATE 
4  LJEVAK JAGODA 
5  JANKOVIĆ ANTE 
6  VUKADIN BORKA 
7  RADOŠ GRGO 
8  KARAULA LOVRO 
00502 NARODNA STRANKA RADOM ZA BOLJITAK 
1  ĆATIĆ SENAD 
2  ĆURIĆ BOŽANA 
3  TEKLIĆ NIKO 
4  PAJALIĆ SELMA 
5  IVANKOVIĆ-LIJANOVIĆ ANTONIO 
512 ZASTUPNIČKI/PREDSTAVNIČKI DOM PARLAMENTARNE SKUPŠTINE BIH IZBORNA JEDINICA 2А / 
ЗАСТУПНИЧКИ/ПРЕДСТАВНИЧКИ ДОМ ПАРЛАМЕНТАРНЕ СКУПШТИНЕ БИХ ИЗБОРНА ЈЕДИНИЦА 2А 
01754 ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ) 
1  ASIĆ ŽELJKO 
2  ANĐELIĆ ANELA 
3  VIZENTANER IVICA 
4  SUŠAC ZDENKA 
5  JURČIĆ MARKO 
6  BUDIMIR DARIJA 
7  KAZIĆ AMIR 
8  DRINOVAC VINKO 
00001 BPS-SEFER HALILOVIĆ 
1  SARAJLIĆ HAJRUDIN 
2  HUSIĆ ANELA 
3  DALIPAGIĆ MUNIB 
4  TASLIDŽA DŽENITA 
5  ŠORO DŽENAN 
6  MAKSUMIĆ EDITA 
7  PROHIĆ ALMIR 
8  PAŠIĆ VEAD 
01755 SNAGA BIH - HSP BIH-DSI 
1  BOŠNJAK MLADEN 
2  MARKOTA MARIJANA 
3  ADŽIĆ GORAN 
4  CIGIĆ MILE 
5  ZADRIĆ MARIJA 
01687 UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS 
1  VELAGIĆ FARUK 
01182 SBB - FAHRUDIN RADONČIĆ 
1  RAHIMIĆ AMEL 
2  RAZIĆ ERNADA 
3  SOKOLOVIĆ SALKO 
4  ĆERIĆ ARMIN 
5  KOVAČEVIĆ ADMIRA 
6  BASARIĆ AZER 
7  VEJZOVIĆ VELDIN 
8  BOŠKAILO SANELLA 
01714 HRVATSKI SAVEZ HKDU - HRAST 
1  BARBARIĆ PERO 
2  MERDŽAN KORNELIJA 
3  BRKIĆ ANTE 
4  TURUDIĆ MARIJA 
5  VUČIĆ ŽELJKO 
6  STOJKIĆ ANĐELA 
7  LUBURIĆ BRUNO 
00008 SDP-SOCIJALDEMOKRATSKA PARTIJA BIH 
1  MIKULIĆ ZORAN 
2  ŽUJO VAHIDA 
3  ĆAVAR MLADEN 
4  LAZAREVIĆ ARMINA 
5  MILOŠEVIĆ STOJAN 
6  GLAVAŠ SLAVEN 
7  DELIĆ MEHMED 
8  DELIĆ AZRA 
00090 SDA - STRANKA DEMOKRATSKE AKCIJE 
1  SOKOLOVIĆ SALKO 
2  BOŠKAILO ALAUDINA 
3  ČOLAKOVIĆ ENIZ 
4  HARAČIĆ ADEM 
5  DŽEKO AMIRA 
6  MEMIDŽAN IRMA 
7  VULE MIRZA 
8  BEĆIROVIĆ ANEL 
01698 DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ 
1  ŠUKO ALIJA 
2  LANDŽO JASMINA 
3  RAMIĆ FIKRET 
4  MAJIĆ TOMISLAV 
5  TAHIROVIĆ NAĐA 
6  AVDIĆ NERMIN 
7  HUJDUR ERMIN 
8  MEŠIĆ ANESA 
00004 STRANKA ZA BOSNU I HERCEGOVINU 
1  MACIĆ OMER 
2  BORIĆ SUADA 
3  MANDLBAUM ZORAN 
"01743 HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE "
1  TOMIĆ MONIKA 
2  BEVANDA VJEKOSLAV 
3  VRANKIĆ DRAGAN 
4  KOŽUL PREDRAG 
5  LONČAR HELENA 
6  MERDŽO JOSIP 
7  KLEPIĆ ZDENKO 
8  PINJUH VESNA 
00769 HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA 
1  ZELENIKA DIANA 
2  ŠANTIĆ ŽARKO 
3  BORAS SREĆKO 
4  KAČIĆ NADA 
5  LJUBIĆ FRANO 
6  ROZIĆ ANITA 
7  BORAS MIHOVIL 
8  KOROMAN ŽELJKO 
00502 NARODNA STRANKA RADOM ZA BOLJITAK 
1  IVANKOVIĆ-LIJANOVIĆ MLADEN 
2  SABLJIĆ SANJA 
3  GRBAVAC ZDENKO 
4  SADŽAK RABIJA 
5  GALIĆ MIROSLAV 
6  BARBARIĆ IVANA 
7  MARIĆ GORAN 
513 ZASTUPNIČKI/PREDSTAVNIČKI DOM PARLAMENTARNE SKUPŠTINE BIH IZBORNA JEDINICA 3А / 
ЗАСТУПНИЧКИ/ПРЕДСТАВНИЧКИ ДОМ ПАРЛАМЕНТАРНЕ СКУПШТИНЕ БИХ ИЗБОРНА ЈЕДИНИЦА 3А 
01754 ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ) 
1  MILJUŠ ZORAN 
2  GRABOVICA FATIMA 
3  GAVRANKAPETANOVIĆ IBRAHIM 
4  MADEŠKO MEDIHA 
5  HARBINJA DERVO 
6  BEŠLAGIĆ DOLORES 
7  TAIS MARTIN IVAN 
8  KADRIBEGOVIĆ NAIDA 
00001 BPS-SEFER HALILOVIĆ 
1  BACKOVIĆ ZAIM 
2  MRKONJA ŠAHZIJA 
3  BALTIĆ SAFET 
4  KURTOVIĆ IFETA 
5  GAJEVIĆ SEAD 
6  TUNOVIĆ ISMETA 
7  HALILOVIĆ SMAJO 
8  DRAGOLJ RAZA 
9  HANDŽIĆ MUHAMED 
01755 SNAGA BIH - HSP BIH-DSI 
1  BIČAKČIĆ EDHEM 
2  HADŽIĆ ALMA 
3  JANEČEK ZVONIMIR 
4  OMERBAŠIĆ NURIJA 
5  GAFIĆ ZLATA 
6  ŠEHOVIĆ MIRSAD 
00515 САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК 
1  СТАНИШИЋ МАКСИМ 
2  ЈЕШИЋ ЖЕЉКА 
3  СИМЕУНОВИЋ РАНКО 
01687 UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS 
1  ZLATAR EMIR 
2  DEAK MIRJANA 
3  ALIĆ MEHO 
4  GRGIĆ IVANA 
5  SINANOVIĆ ELVIR 
6  LJUBOVIĆ REŠAD 
7  MUJIĆ IRENA 
8  ŽUNIĆ TARIK 
9  SARIĆ BRANKA 
01182 SBB - FAHRUDIN RADONČIĆ 
1  ŠKALJIĆ FEHIM 
2  ĐAPO EDITA 
3  ARNAUT DAMIR 
4  ĐULANČIĆ NERMINA 
5  ĐUGUM MIRSAD 
6  OMEROVIĆ BEGAJETA 
7  ROVČANIN FUAD 
8  CURIĆ TARIK 
9  KAMEŠNIČANIN ABRIZA 
01190 STRANKA DIJASPORE BOSNE I HERCEGOVINE 
1  BURNAZOVIĆ RIZAH 
2  GRBO AMELA 
3  ATAJIĆ RAMO 
4  KADRIĆ ŠEVKO 
5  DEDOVIĆ ANESA 
01701 LABURISTIČKA STRANKA BOSNE I HERCEGOVINE LABURISTI BIH 
1  POZDERAC NEDA 
01276 KOMUNISTIČKA PARTIJA 
1  MIHAJLOVIĆ ZDENKO 
2  BEGOVIĆ-KNEŽEVIĆ AMILA 
3  MUHOTIĆ SAFET 
00008 SDP-SOCIJALDEMOKRATSKA PARTIJA BIH 
1  LAGUMDŽIJA ZLATKO 
2  KORAĆ LIDIJA 
3  MAGAZINOVIĆ SAŠA 
4  HADŽIĆ DAMIR 
5  LJUJIĆ-MIJATOVIĆ TATJANA 
6  DOMAZET ANTO 
7  BAJIĆ SELMA 
8  HALILOVIĆ ALDI 
00036 BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ 
1  MIROJEVIĆ HARIS 
2  KOPIĆ JASNA 
3  TIRIĆ ADMIR 
4  SKORUPAN REBEKA 
5  BEZDROB SUADA 
6  ŠABETA SAHUDIN 
7  GANIĆ SAMIRA 
00090 SDA - STRANKA DEMOKRATSKE AKCIJE 
1  SARAJLIĆ ASIM 
2  BOROVAC SEMIHA 
3  ŠKRIJELJ RIFAT 
4  KOVAČEVIĆ ŠEVAL 
5  MEMIĆ VELIDA 
6  SIPOVIĆ MIRSAD 
7  FIŠO MUJO 
8  ZAČINOVIĆ SANDRA 
9  HUBANIĆ VERNESA 
01698 DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ 
1  KOMŠIĆ ŽELJKO 
2  VAJZOVIĆ HANKA 
3  MANDILOVIĆ MILAN 
4  TANOVIĆ HASAN 
5  HADŽIHASANOVIĆ BESIMA 
6  KALAMUJIĆ AFAN 
7  ALIHODŽIĆ BELMA 
8  LUKIĆ BRANISLAV 
9  GASAL-VRAŽALICA MAJA 
00004 STRANKA ZA BOSNU I HERCEGOVINU 
1  JERLAGIĆ AMER 
2  HABUL AIDA 
3  SUDIĆ ESAD 
4  ZGODIĆ-BOŽIĆ NEDA 
5  DIZDAR SAFET 
01742 ПДП-НДП 
1  ЧАВАРКАПА МИРОСЛАВ 
2  ПРЖУЉ КАТА 
